MAP DIMENSIONS:
	25x25 hexagon map with 4 props. 
PROP DESCRIPTIONS
	Card at Path to reach: forward, right, forward, left, forward, right, forward.
	Card at Path not in sight. distance: 6.1 units and heading: 85.3 degrees.
	Card at Path not in sight. distance: 3.0 units and heading: 60.0 degrees.
	Card at Path not in sight. distance: 6.2 units and heading: 76.1 degrees.
MAP DESCRIPTION
	City of size 2 at Path not in sight. distance: 6.2 units and heading: 76.1 degrees.
NEARBY TILES
	Right tile: heading -60 and distance 1.0 GROUND_TILE_STONES_GREENBUSH
	Forward tile: heading 0 and distance 1.0 GROUND_TILE
FURTHER TILES
	Tile at heading -30 and distance 1.7: GROUND_TILE
	Tile at heading -19 and distance 2.6: GROUND_TILE
	Tile at heading -41 and distance 2.6: GROUND_TILE
	Tile at heading -30 and distance 3.5: GROUND_TILE
	Tile at heading -46 and distance 3.6: GROUND_TILE
	Tile at heading -23 and distance 4.4: GROUND_TILE
	Tile at heading -37 and distance 4.4: GROUND_TILE
	Tile at heading -30 and distance 5.2: GROUND_TILE
	Tile at heading -41 and distance 5.3: GROUND_TILE
	Tile at heading -25 and distance 6.1: GROUND_TILE_STONES
	Tile at heading -35 and distance 6.1: GROUND_TILE
	Tile at heading -44 and distance 6.2: GROUND_TILE
