MAP DIMENSIONS:
	25x25 hexagon map with 0 props. 
PROP DESCRIPTIONS
	
MAP DESCRIPTION
	Lake of size 2 and shape L_SHAPED at Path not in sight. distance: 3.5 units and heading: 30.0 degrees.
NEARBY TILES
	Left tile: heading 60 and distance 1.0 GROUND_TILE_HOUSE_BLUE
	Right tile: heading 300 and distance 1.0 GROUND_TILE
	Forward tile: heading 360 and distance 1.0 GROUND_TILE_PATH
FURTHER TILES
	Tile at heading 330 and distance 1.7: GROUND_TILE_PATH
	Tile at heading 390 and distance 1.7: GROUND_TILE
	Tile at heading 360 and distance 2.0: GROUND_TILE_PATH
	Tile at heading 319 and distance 2.6: WATER_TILE
	Tile at heading 341 and distance 2.6: WATER_TILE
	Tile at heading 360 and distance 3.0: GROUND_TILE_PATH
	Tile at heading 314 and distance 3.6: WATER_TILE
	Tile at heading 330 and distance 3.5: WATER_TILE
	Tile at heading 346 and distance 3.6: GROUND_TILE_PATH
	Tile at heading 323 and distance 4.4: WATER_TILE
	Tile at heading 337 and distance 4.4: WATER_TILE
	Tile at heading 349 and distance 4.6: GROUND_TILE_PATH
	Tile at heading 319 and distance 5.3: GROUND_TILE_PATH
	Tile at heading 330 and distance 5.2: WATER_TILE
	Tile at heading 341 and distance 5.3: GROUND_TILE_PATH
	Tile at heading 316 and distance 6.2: GROUND_TILE_PATH
	Tile at heading 325 and distance 6.1: WATER_TILE
	Tile at heading 335 and distance 6.1: WATER_TILE
	Tile at heading 344 and distance 6.2: GROUND_TILE_PATH
